1	22	94

1	28	88

1	40	70

1	41	94

1	44	88

1	44	94

1	44	98

1	50	90

1	55	86

1	55	88

1	58	88

1	61	90

1	69	96

1	70	40

1	70	78

1	70	86

1	71	91

1	72	77

1	74	77

1	77	72

1	77	74

1	78	70

1	78	97

1	80	94

1	81	91

1	81	95

1	82	87

1	82	88

1	82	94

1	84	86

1	86	55

1	86	70

1	86	84

1	86	98

1	87	82

1	88	28

1	88	44

1	88	55

1	88	58

1	88	82

1	88	96

1	88	97

1	89	91

1	89	97

1	90	50

1	90	61

1	90	96

1	91	71

1	91	81

1	91	89

1	94	22

1	94	41

1	94	44

1	94	80

1	94	82

1	94	98

1	95	81

1	95	97

1	96	69

1	96	88

1	96	90

1	97	78

1	97	88

1	97	89

1	97	95

1	98	44

1	98	86

1	98	94

2	28	50

2	28	78

2	28	89

2	28	93

2	41	97

2	48	90

2	48	95

2	50	28

2	50	53

2	50	87

2	53	50

2	54	57

2	57	54

2	57	95

2	57	98

2	65	95

2	67	94

2	68	98

2	77	87

2	77	89

2	77	98

2	78	28

2	78	92

2	81	83

2	81	89

2	83	81

2	85	89

2	87	50

2	87	77

2	87	93

2	89	28

2	89	77

2	89	81

2	89	85

2	89	90

2	90	48

2	90	89

2	90	96

2	92	78

2	93	28

2	93	87

2	94	67

2	95	48

2	95	57

2	95	65

2	96	90

2	96	97

2	97	41

2	97	96

2	98	57

2	98	68

2	98	77

3	29	89

3	35	89

3	36	89

3	48	87

3	52	76

3	60	67

3	63	90

3	67	60

3	67	96

3	67	99

3	68	79

3	74	86

3	76	52

3	79	68

3	84	89

3	86	74

3	87	48

3	89	29

3	89	35

3	89	36

3	89	84

3	90	63

3	93	99

3	94	96

3	96	67

3	96	94

3	99	67

3	99	93

4	54	85
